MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BLKGRP,BLOCK,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5040,2.10404E+14,110010001004012,11,1,100,4,4012,4012,Block 4012,BK,S,14,13,4384,,U,38.9049738,-77.0606767,38.9049738,-77.0606767
G5040,2.10404E+14,110010001004013,11,1,100,4,4013,4013,Block 4013,BK,S,6,5,7286,,U,38.9049516,-77.061995,38.9049516,-77.061995
G5040,2.10404E+14,110010001004014,11,1,100,4,4014,4014,Block 4014,BK,S,,,7468,,U,38.905422,-77.0620045,38.905422,-77.0620045
G5040,2.10404E+14,110010001004015,11,1,100,4,4015,4015,Block 4015,BK,S,6,6,4763,,U,38.9059865,-77.0615747,38.9059865,-77.0615747
G5040,2.10404E+14,110010001004016,11,1,100,4,4016,4016,Block 4016,BK,S,,,6801,,U,38.9045013,-77.0619616,38.9045013,-77.0619616
G5040,2.10404E+14,110010001004017,11,1,100,4,4017,4017,Block 4017,BK,S,4,2,4044,,U,38.9045406,-77.060612,38.9045406,-77.060612
G5040,2.10404E+14,110010001004018,11,1,100,4,4018,4018,Block 4018,BK,S,,,1010,,U,38.9042997,-77.0607524,38.9042997,-77.0607524
G5040,2.10404E+14,110010001004019,11,1,100,4,4019,4019,Block 4019,BK,S,,,,852,U,38.9041936,-77.0607722,38.9041936,-77.0607722
G5040,2.10404E+14,110010001004020,11,1,100,4,4020,4020,Block 4020,BK,S,,,,2042,U,38.9042183,-77.0619679,38.9042183,-77.0619679
G5040,2.10404E+14,110010001004021,11,1,100,4,4021,4021,Block 4021,BK,S,,,2312,,U,38.9040775,-77.0620866,38.9040775,-77.0620866
G5040,2.10404E+14,110010001004022,11,1,100,4,4022,4022,Block 4022,BK,S,6,4,9055,,U,38.9037161,-77.0619539,38.9037161,-77.0619539
G5040,2.10404E+14,110010001004023,11,1,100,4,4023,4023,Block 4023,BK,S,52,33,15350,,U,38.9033713,-77.0606321,38.9033713,-77.0606321
